generation,front_size,best_distance_to_ideal,best_predicted_P76,best_predicted_P62,best_predicted_P79,best_predicted_P89,front_max_P76,front_min_P62,front_min_P79,front_max_P89,best_so_far_distance_to_ideal,best_so_far_P76,best_so_far_P62,best_so_far_P79,best_so_far_P89
0,31.0,0.5556798950011945,7066.393392457906,0.3283009861189008,0.8838627915296327,0.6190357142857019,14920.084872960519,0.00018484379098846794,0.7294972630498041,1.0,0.5556798950011945,7066.393392457906,0.3283009861189008,0.8838627915296327,0.6190357142857019
1,40.0,0.5503755111790284,7066.393392457906,0.3283009861189008,0.8838627915296327,0.6190357142857019,14920.084872960519,0.00015763443490111398,0.6934107270696014,1.0,0.5503755111790284,7066.393392457906,0.3283009861189008,0.8838627915296327,0.6190357142857019
2,40.0,0.5495883202112297,5908.367143617358,0.29399152335209483,0.9201711458613582,0.663869047619053,14920.084872960519,0.00015763443490111398,0.6887994279696409,1.0,0.5495883202112297,5908.367143617358,0.29399152335209483,0.9201711458613582,0.663869047619053
3,40.0,0.5365222143754071,8847.264308200587,0.36535252236087734,0.860802882245185,0.6139404761904689,14920.084872960519,0.00015763443490111398,0.6887994279696409,1.0,0.5365222143754071,8847.264308200587,0.36535252236087734,0.860802882245185,0.6139404761904689
4,40.0,0.5201238463861105,8847.264308200587,0.36535252236087734,0.860802882245185,0.6139404761904689,14920.084872960519,0.00015763443490111398,0.6887994279696409,1.0,0.5201238463861105,8847.264308200587,0.36535252236087734,0.860802882245185,0.6139404761904689
5,40.0,0.5545144973511525,4360.961742003249,0.259119046611988,0.9128547686192632,0.7145238095238092,14920.084872960519,0.00015763443490111398,0.6736308551234336,1.0,0.5201238463861105,8847.264308200587,0.36535252236087734,0.860802882245185,0.6139404761904689
6,40.0,0.5545144973511525,4360.961742003249,0.259119046611988,0.9128547686192632,0.7145238095238092,14920.084872960519,0.00015763443490111398,0.6187135171564293,1.0,0.5201238463861105,8847.264308200587,0.36535252236087734,0.860802882245185,0.6139404761904689
7,40.0,0.5544789519627265,4360.961742003249,0.259119046611988,0.9128547686192632,0.7145238095238092,14920.084872960519,0.00015763443490111398,0.6187135171564293,1.0,0.5201238463861105,8847.264308200587,0.36535252236087734,0.860802882245185,0.6139404761904689
8,40.0,0.5456636732834127,4553.08553668151,0.26157222179391987,0.9128688935031374,0.7064880952380961,14920.084872960519,0.00015763443490111398,0.5980809736375008,1.0,0.5201238463861105,8847.264308200587,0.36535252236087734,0.860802882245185,0.6139404761904689
9,40.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066,14920.084872960519,0.00015763443490111398,0.5064455990197907,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
10,40.0,0.5551425579396598,11293.856932413786,0.3881162323726637,0.8367073909038304,0.48636904761904703,16490.84060420359,0.00015763443490111398,0.5064455990197907,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
11,40.0,0.5551425579396598,11293.856932413786,0.3881162323726637,0.8367073909038304,0.48636904761904703,16490.84060420359,0.00015763443490111398,0.5064455990197907,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
12,40.0,0.5290935817444905,7796.9846342967,0.34028597060226884,0.8651168400318899,0.6190357142857024,16490.84060420359,0.00015763443490111398,0.4554873566124988,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
13,40.0,0.5397680977089971,5012.426505380372,0.28291287383276686,0.7761728219113819,0.7407261904761927,16490.84060420359,0.00015763443490111398,0.45112904408749893,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
14,40.0,0.5488660775054972,10701.392696349727,0.3932050575534957,0.8479205632203873,0.5286904761904718,17818.70710662313,0.00015763443490111398,0.45112904408749893,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
15,40.0,0.5485439064520825,7190.455941928213,0.32570592000773924,0.879443110399401,0.6190833333333213,17818.70710662313,0.00015763443490111398,0.44770624142499876,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
16,40.0,0.5485439064520825,7190.455941928213,0.32570592000773924,0.879443110399401,0.6190833333333213,17818.70710662313,0.00015763443490111396,0.44770624142499876,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
17,40.0,0.5484175107808906,7190.455941928213,0.32570592000773924,0.879443110399401,0.6190833333333213,17818.70710662313,0.00015763443490111396,0.4477062414249987,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
18,40.0,0.5338427782976118,10108.909899439335,0.38391511261955485,0.8461139935773916,0.5700119047619006,17842.095880707988,0.00015763443490111396,0.4477062414249987,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
19,40.0,0.5421404737755953,7598.041809490065,0.3347392461246433,0.8682727154068901,0.6193928571428454,17842.095880707988,0.00015763443490111396,0.44680583607499874,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
20,40.0,0.5652272501818989,4553.08553668151,0.26157222179391987,0.9128688935031374,0.7064880952380961,17842.095880707988,0.00015763443490111396,0.44680583607499874,1.0,0.5184038350058895,7477.180148195206,0.3248988175062025,0.8911565901338606,0.6190476190476066
