# 
# 04/02/2026 15:32:57
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1073.15,1.4253850000000067E-12,-6.1461463788E-11,0,1.94138368E-14,0,-6.00166649512E-11,2.8048109999999991E-11,-3.1968554951200008E-11,0.21,1073.1489,6.1438973E-11,-2.2490788E-14,1E-10,-3.0769512E-15,1.05,6.0013588E-11,1.05,-1.2804811E-10,-7.9630935E-06,2.3705672,1073.1489,0.97,1073.149,1073.1489,-8.361248175E-06,0.21,0.97,0.03,0.21,0.97,0.03,1,8.022582,131.4613
DP 1,1.03,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.85,0.00023881236999999996,0.00055525743179,1.4399999999969992E-05,6.81392394E-07,1.399999999995849E-05,0.00082315119418392842,0.018632960690000002,0.019456111884183929,0.20972839,1073.3829,-0.00055603075,-7.7331821E-07,0.00047683631,-9.1925816E-08,1.0300004,-0.00079484312,1.0300144,-0.019109797,56.714034,2.3748647,1073.3533,0.96930988,1073.3962,1073.2412,58.415455019999996,0.20972839,0.96930988,0.030690121,0.20863,0.96873876,0.031261236,0.98095238095238091,8.0189199,131.58665
DP 2,1,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.05,0.00071776769999999982,0.0016760300135,4.3500000000085137E-05,2.05504039E-06,4.2400000000109017E-05,0.002481752753890194,0.0458767395,0.048358492253890197,0.2091803,1073.836,-0.0016783623,-2.3322865E-06,0.0014403015,-2.7724611E-07,1.0000011,-0.00239613,1.0000435,-0.047317041,171.04036,2.3829601,1073.7374,0.96791871,1073.881,1073.3624,171.04036,0.2091803,0.96791871,0.032081289,0.20587658,0.96619799,0.033802006,0.95238095238095233,8.0170864,131.83517
DP 3,0.95,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1069.55,0.0019979324999999997,0.0047361057383,0.00012392999999999432,5.79249248E-06,0.00012089999999997936,0.0069846607307799732,0.0883793912,0.095364051930779972,0.20768521,1075.4821,-0.0047426797,-6.5739617E-06,0.0040796588,-7.8146922E-07,0.95000303,-0.0067406122,0.95012393,-0.09245905,482.1016,2.4130443,1075.1559,0.96413352,1075.6319,1073.911,457.99652,0.20768521,0.96413352,0.035866476,0.19844042,0.95929769,0.040702312,0.90476190476190466,8.0148251,132.55302
DP 4,0.9,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1064.25,0.004118593,0.010051319638,0.00026611999999992531,1.22382867E-05,0.00025971999999996331,0.014707990924699888,0.1254617757,0.14016976662469988,0.20509339,1078.7522,-0.010065209,-1.3889362E-05,0.0086969743,-1.6510753E-06,0.9000064,-0.014183802,0.90026612,-0.13415875,1018.5721,2.4733504,1077.9565,0.9576052,1079.1178,1074.9163,916.71489,0.20509339,0.9576052,0.0423948,0.18580593,0.94744292,0.052557078,0.8571428571428571,8.0134095,133.82266
DP 5,0.85,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1054.85,0.007100681000000001,0.018236862458,0.00049082000000000292,2.2047152299999998E-05,0.00047927999999997084,0.026329690610299973,0.155856736,0.18218642661029996,0.20111665,1084.6361,-0.018261884,-2.5021542E-05,0.015898614,-2.9743897E-06,0.85001154,-0.025362565,0.85049082,-0.17175535,1834.9409,2.5852006,1083.008,0.94767034,1085.3861,1076.7736,1559.699765,0.20111665,0.94767034,0.052329664,0.16714268,0.92951981,0.070480186,0.80952380952380942,8.0165405,135.82673
DP 6,0.8,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1039.85,0.010594206999999998,0.029195875112,0.00080472999999992023,3.49639125E-05,0.00078643000000000463,0.04141620602449992,0.180109867,0.22152607302449992,0.19581887,1093.0278,-0.029235556,-3.9680888E-05,0.025701053,-4.7169755E-06,0.8000183,-0.039829763,0.80080473,-0.20581092,2909.9609,2.750003,1090.1367,0.93458711,1094.3668,1079.0324,2327.9687200000003,0.19581887,0.93458711,0.065412889,0.14430173,0.90614215,0.093857841,0.76190476190476186,8.0232655,138.48243
DP 7,0.75,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1018.05,0.014145441000000002,0.041977406075,0.001202530000000035,4.97872006E-05,0.0011764800000000353,0.05855164427560007,0.200587206,0.25913885027560007,0.1896521,1102.3737,-0.04203391,-5.6503925E-05,0.037303854,-6.7167244E-06,0.75002605,-0.056179351,0.75120253,-0.23789106,4143.6321,2.9374127,1097.824,0.91957242,1104.5054,1080.272,3107.724075,0.1896521,0.91957242,0.08042758,0.12306908,0.87963808,0.12036192,0.71428571428571419,8.026863,141.41073
DP 8,0.7,1,2000,1.9733758447787224E-06,1.7004578155657292E-07,989.94999999999993,0.024171144,0.054640750654,0.0017750900000000902,6.8757552000000009E-05,0.0017391100000000437,0.082394852206000138,0.21463960399999998,0.29703445620600011,0.19606141,1052.9551,-0.054718784,-7.8033346E-05,0.046734116,-9.275794E-06,0.70003598,-0.078889928,0.70177509,-0.26137372,5722.3721,2.3674399,1052.4313,0.93516903,1060.9297,1030.2042,4005.6604699999993,0.19606141,0.93516903,0.064830971,0.11672815,0.87806469,0.12193531,0.66666666666666652,16.491333,267.04943
DP 9,0.65,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,956.44999999999993,0.020202846999999996,0.069528369131000009,0.002206579999999958,8.1547695000000012E-05,0.0021639099999999356,0.0941832538259999,0.238439514,0.33262276782599987,0.17611639,1123.6714,-0.069620918,-9.2548869E-05,0.062839966,-1.1001174E-05,0.65004267,-0.089823765,0.65220658,-0.30127948,6786.7772,3.3898946,1114.8048,0.88740182,1127.9576,1080.2659,4411.4051800000007,0.17611639,0.88740182,0.11259818,0.099866493,0.82383058,0.17616942,0.61904761904761907,8.0320439,147.54572
