record_id,source_file,source_stem,run_timestamp,Name,dp_index,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,distance_to_ideal
56,j-cell-40x40-xchem2t-dp-params-5.csv,j-cell-40x40-xchem2t-dp-params-5,07/18/2024 18:06:15,DP 10,10,0.6,10,1000,9.866879223893611e-06,8.502289077828646e-08,800.0,0.0591131639999999,0.029343468314,0.00048263,2.2481665e-05,0.00047087,0.089432613979,0.0654120448,0.154844658779,0.20910328,810.16646,-0.029368983,-2.5514686e-05,0.0092371912,-3.033021e-06,0.60001176,-0.088482147,0.60048263,-0.074649236,1871.1165,0.31648448,817.6375,0.94722935,820.25104,812.36233,1122.6699,0.20910328,0.94722935,0.052770651,0.16487933,0.92470475,0.075295246,0.5714285714285714,94.327346,102.56231,0.9557750879125312
66,Расчет 1 1000.csv,Расчет 1 1000,04/01/2026 10:08:30,DP 5,5,0.85,1,1000,9.866879223893614e-07,8.502289077828646e-08,1054.85,0.0036714269999999,0.018649107049,0.00051391,2.39595471e-05,0.0005013699999999,0.0233597735960999,0.15457856,0.1779383335960999,0.20033938,1074.4902,-0.018676299,-2.7191951e-05,0.0168037,-3.2324039e-06,0.85001254,-0.022347726,0.85051391,-0.17138226,1994.1144,5.433971,1072.6212,0.94573339,1075.235,1064.3714,1694.99724,0.20033938,0.94573339,0.054266611,0.18348699,0.93541536,0.064588391,0.8095238095238094,7.8863449,134.74976,0.9635597449373178
55,j-cell-40x40-xchem2t-dp-params-5.csv,j-cell-40x40-xchem2t-dp-params-5,07/18/2024 18:06:15,DP 9,9,0.65,10,1000,9.866879223893611e-06,8.502289077828646e-08,800.0,0.049025442,0.023240570089,0.0003683799999999,1.72373977e-05,0.0003593599999999,0.0730109894866998,0.0590704081,0.1320813975866998,0.20931262,807.12004,-0.023260133,-1.9562911e-05,0.0069700599,-2.3255133e-06,0.65000902,-0.072285575,0.65036838,-0.066040468,1434.6451,0.29260908,812.38565,0.95254143,814.19294,808.70492,932.519315,0.20931262,0.95254143,0.047458572,0.17586842,0.93540255,0.064597452,0.619047619047619,93.850032,101.37829,0.9639805935200504
54,j-cell-40x40-xchem2t-dp-params-5.csv,j-cell-40x40-xchem2t-dp-params-5,07/18/2024 18:06:15,DP 8,8,0.7,10,1000,9.866879223893611e-06,8.502289077828646e-08,800.0,0.039731129,0.018218944793,0.00028113,1.31932862e-05,0.00027423,0.0585186270792001,0.0539276765,0.1124463035792001,0.20947399,804.92401,-0.018233918,-1.4973207e-05,0.0052733345,-1.7799208e-06,0.7000069,-0.057965047,0.70028113,-0.059201011,1098.0562,0.27636002,808.60153,0.95663773,809.84282,806.05675,768.63934,0.20947399,0.95663773,0.043362274,0.18417677,0.9435969,0.056403104,0.6666666666666666,93.512704,100.49194,0.9709460206227905
53,j-cell-40x40-xchem2t-dp-params-5.csv,j-cell-40x40-xchem2t-dp-params-5,07/18/2024 18:06:15,DP 7,7,0.75,10,1000,9.866879223893611e-06,8.502289077828646e-08,800.0,0.0312139519999999,0.01396632074,0.0002112199999999,9.9340463e-06,0.0002060199999999,0.0456074467862998,0.0492004380999999,0.0948078848862998,0.209604,803.30484,-0.013977595,-1.127426e-05,0.0039364819,-1.3402137e-06,0.7500052,-0.045191547,0.75021122,-0.05313692,826.79436,0.26487394,805.81212,0.95993888,806.64463,804.09716,620.09577,0.209604,0.95993888,0.040061124,0.19073741,0.95016292,0.049837077,0.7142857142857143,93.262912,99.805365,0.9770636608811879
52,j-cell-40x40-xchem2t-dp-params-5.csv,j-cell-40x40-xchem2t-dp-params-5,07/18/2024 18:06:15,DP 6,6,0.8,10,1000,9.866879223893611e-06,8.502289077828646e-08,800.0,0.023509536,0.0103298529782,0.0001538599999999,7.24992551e-06,0.00015007,0.0341505689037099,0.0443460369,0.0784966058037099,0.20971103,802.10985,-0.010338081,-8.2280218e-06,0.0028542871,-9.7809629e-07,0.80000379,-0.033847617,0.80015386,-0.047200324,603.39874,0.2566582,803.75381,0.96265744,804.28936,802.64695,482.718992,0.20971103,0.96265744,0.037342562,0.19604421,0.95554569,0.044454309,0.7619047619047618,93.081127,99.266226,0.9825009838848701
51,j-cell-40x40-xchem2t-dp-params-5.csv,j-cell-40x40-xchem2t-dp-params-5,07/18/2024 18:06:15,DP 5,5,0.85,10,1000,9.866879223893611e-06,8.502289077828646e-08,800.0,0.0167141729,0.0072479308273,0.00010673,5.03763834e-06,0.00010409,0.02417796136564,0.0388517164,0.06302967776564,0.20979923,801.2449,-0.0072536481,-5.7172727e-06,0.0019737726,-6.7963436e-07,0.85000264,-0.023967821,0.85010673,-0.040825489,419.27311,0.25084693,802.26416,0.96489806,802.58724,801.59517,356.3821435,0.20979923,0.96489806,0.035101939,0.20035459,0.95996724,0.040032763,0.8095238095238095,92.952112,98.845077,0.9872759552670771
10,calc1.csv,calc1,07/18/2024 10:57:36,DP 9,9,0.65,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.038550172,0.010974018608,0.0001142199999999,5.40517302e-06,0.0001113899999999,0.0497552057810198,0.0244487038,0.0742039095810198,0.20956903,754.32578,-0.010980153,-6.134392e-06,0.0018746322,-7.2921898e-07,0.65000283,-0.049530325,0.65011422,-0.026323336,449.8641,0.11669114,755.56805,0.96452578,756.24212,754.13085,292.411665,0.20956903,0.96452578,0.035474215,0.19890819,0.95901053,0.040989466,0.619047619047619,35.786731,93.125599,0.9884284706768083
25,j-cell-40x40-xchem2t-dp-params-3.csv,j-cell-40x40-xchem2t-dp-params-3,07/18/2024 10:52:40,DP 9,9,0.65,5,1000,4.933439611946806e-06,8.502289077828646e-08,750.0,0.038550172,0.010974018608,0.0001142199999999,5.40517302e-06,0.0001113899999999,0.0497552057810198,0.0244487038,0.0742039095810198,0.20956903,754.32578,-0.010980153,-6.134392e-06,0.0018746322,-7.2921898e-07,0.65000283,-0.049530325,0.65011422,-0.026323336,449.8641,0.11669114,755.56805,0.96452578,756.24212,754.13085,292.411665,0.20956903,0.96452578,0.035474215,0.19890819,0.95901053,0.040989466,0.619047619047619,35.786731,93.125599,0.9884284706768083
50,j-cell-40x40-xchem2t-dp-params-5.csv,j-cell-40x40-xchem2t-dp-params-5,07/18/2024 18:06:15,DP 4,4,0.9,10,1000,9.866879223893611e-06,8.502289077828646e-08,800.0,0.0109577579,0.0047082942003,6.87499999999508e-05,3.25038551e-06,6.704999999995742e-05,0.0158051024858099,0.0321555132,0.0479606156858099,0.20987047,800.64407,-0.0047119831,-3.6888997e-06,0.0012691008,-4.3851419e-07,0.9000017,-0.015669741,0.90006875,-0.033424614,270.52246,0.24687609,801.22947,0.96670817,801.40613,800.86359,243.47021400000003,0.20987047,0.96670817,0.03329183,0.20379884,0.96353107,0.036468926,0.8571428571428571,92.864819,98.524071,0.991329197610074
