parameter,description,category,ga_predicted,model_actual,abs_error,rel_error_pct
P27,cell-voltage [V],input,0.6405805886619518,0.64,-0.0005805886619517642,-0.09071697842996315
P46,air-in-ratio,input,6.2554487813181705,6.2554487813181705,0.0,0.0
P47,fuel-flow [ml/min],input,112.70730853630388,112.70730853630388,0.0,0.0
P52,gas-in-t [K],input,889.0225139913696,889.0225139913696,0.0,0.0
P76,current-density [A m^-2],output,7842.702506963215,5564.1143,-2278.5882069632144,-40.95149891085477
P62,total-losses [V],output,0.3387881042778328,0.3170960706082,-0.021692033669632793,-6.840839631984971
P79,fuel-out-h2,output,0.5611541896487524,0.36927118,-0.19188300964875243,-51.962628020077936
P89,power-efficiency,output,0.618809523809525,0.6095238095238094,-0.009285714285715674,-1.523437500000228
