# 
# 04/03/2026 14:54:05
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1073.15,1.424595000000003E-12,-6.1464349771E-11,0,2.0095563499999998E-14,0,-6.00196592075E-11,2.7977089999999991E-11,-3.2042569207500005E-11,0.21,1073.1489,6.1441064E-11,-2.3285771E-14,1E-10,-3.1902075E-15,1.05,6.0016469E-11,1.05,-1.2797709E-10,-7.9543847E-06,2.3705672,1073.1489,0.97,1073.149,1073.1489,-8.3521039350000013E-06,0.21,0.97,0.03,0.21,0.97,0.03,1,8.0224782,131.4613
DP 1,1.03,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.85,0.00023882174000000003,0.00055525938979,1.4399999999969992E-05,6.8139401800000006E-07,1.399999999995849E-05,0.00082316252380792846,0.018632946719999998,0.019456109243807928,0.20972839,1073.3788,-0.00055603271,-7.7332021E-07,0.00047683528,-9.1926192E-08,1.0300004,-0.00079485445,1.0300144,-0.019109782,56.714365,2.3747862,1073.3495,0.96930988,1073.3921,1073.2384,58.41579595,0.20972839,0.96930988,0.030690125,0.20863003,0.96873876,0.031261244,0.98095238095238091,8.0153169,131.58619
DP 2,1,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.05,0.00071779779999999989,0.0016760372,4.3500000000085137E-05,2.05505228E-06,4.2400000000109017E-05,0.0024817900522801943,0.0458766929,0.048358482952280193,0.2091803,1073.8316,-0.0016783695,-2.3323E-06,0.0014402991,-2.7724772E-07,1.0000011,-0.0023961673,1.0000435,-0.047316992,171.04166,2.382877,1073.7335,0.9679187,1073.8767,1073.3594,171.04166,0.2091803,0.9679187,0.032081302,0.20587667,0.96619797,0.033802034,0.95238095238095233,8.0130754,131.83468
DP 3,0.95,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1069.55,0.0019980117999999995,0.0047361293958,0.00012392999999999432,5.79252988E-06,0.00012089999999997936,0.0069847637256799733,0.0883792576,0.095364021325679976,0.2076852,1075.4782,-0.0047427034,-6.5740042E-06,0.0040796574,-7.8147432E-07,0.95000303,-0.0067407152,0.95012393,-0.092458915,482.10556,2.4129669,1075.1522,0.96413348,1075.6279,1073.9082,458.000282,0.2076852,0.96413348,0.035866516,0.1984408,0.9592976,0.040702397,0.90476190476190466,8.0094765,132.55258
DP 4,0.9,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1064.25,0.0041187730000000009,0.010051383524999999,0.00026611999999992531,1.22383863E-05,0.00025971999999996331,0.014708234911299889,0.1254614596,0.14016969451129987,0.20509335,1078.7481,-0.010065273,-1.3889475E-05,0.0086969804,-1.6510887E-06,0.9000064,-0.014184046,0.90026612,-0.13415844,1018.5822,2.4732645,1077.9526,0.9576051,1079.1135,1074.9132,916.72398,0.20509335,0.9576051,0.042394904,0.18580692,0.94744271,0.052557294,0.85714285714285721,8.0070368,133.82218
DP 5,0.85,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1054.85,0.0071011089999999978,0.018237003192,0.00049083000000005317,2.20473865E-05,0.00047929000000002109,0.026330279578500072,0.155855992,0.18218627157850006,0.20111654,1084.6306,-0.018262025,-2.5021808E-05,0.015898618,-2.9744215E-06,0.85001154,-0.025363134,0.85049083,-0.17175461,1834.9648,2.5850758,1083.0024,0.94767009,1085.3801,1076.7692,1559.7200799999998,0.20111654,0.94767009,0.052329906,0.16714427,0.92951931,0.070480692,0.80952380952380953,8.0103937,135.82606
DP 6,0.8,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1039.85,0.010595149999999998,0.029196077566,0.00080473999999997048,3.49643911E-05,0.00078644000000005487,0.041417371957100019,0.180108448,0.22152581995710002,0.19581867,1093.019,-0.029235759,-3.9681434E-05,0.025700952,-4.7170429E-06,0.8000183,-0.039830909,0.80080474,-0.2058094,2910.0076,2.7497976,1090.128,0.93458668,1094.3573,1079.0256,2328.00608,0.19581867,0.93458668,0.065413324,0.14430292,0.90614122,0.093858778,0.761904761904762,8.0185873,138.48137
DP 7,0.75,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1018.05,0.014146573000000003,0.041977701335,0.0012025399999999742,4.9787850299999996E-05,0.0011764899999999745,0.05855309218529995,0.200585409,0.25913850118529996,0.18965181,1102.3664,-0.042034206,-5.6504665E-05,0.037303781,-6.7168147E-06,0.75002605,-0.056180779,0.75120254,-0.23788919,4143.6963,2.9372191,1097.8162,0.91957181,1104.4971,1080.2658,3107.7722249999997,0.18965181,0.91957181,0.080428193,0.12307111,0.87963682,0.12036318,0.71428571428571441,8.0215942,141.40979
DP 8,0.7,2,2000,3.9467516895574447E-06,1.7004578155657292E-07,989.94999999999993,0.024908322999999996,0.055095252689,0.001834280000000077,7.08546211E-05,0.0017972099999999935,0.08370592031010006,0.21293397900000002,0.2966398993101001,0.2028795,1030.3736,-0.055175666,-8.0413311E-05,0.046955471,-9.5586899E-06,0.70003707,-0.080083989,0.70183428,-0.25988945,5896.8943,2.3674399,1038.4855,0.93410587,1045.7295,1020.6033,4127.82601,0.2028795,0.93410587,0.065894129,0.12057054,0.87438597,0.12561402,0.66666666666666663,36.830593,263.8282
DP 9,0.65,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,956.44999999999993,0.020202931999999993,0.069529259045000014,0.0022065900000000083,8.1548652E-05,0.0021639199999999859,0.094184249697,0.23843759799999997,0.332621847697,0.17611602,1123.6752,-0.069621809,-9.2549955E-05,0.062840842,-1.1001303E-05,0.65004267,-0.089824741,0.65220659,-0.30127844,6786.8566,3.3899221,1114.8058,0.88740084,1127.9591,1080.2661,4411.45679,0.17611602,0.88740084,0.11259916,0.099870611,0.82382886,0.17617114,0.61904761904761907,8.0271291,147.54594
