# 
# 04/02/2026 15:46:06
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1073.15,1.4249749999999897E-12,-6.146296073E-11,0,1.94535221E-14,0,-6.00185322079E-11,2.8011300000000003E-11,-3.20072322079E-11,0.21,1073.1489,6.1440422E-11,-2.253873E-14,1E-10,-3.0852079E-15,1.05,6.0015447E-11,1.05,-1.280113E-10,-7.9588186E-06,2.3705672,1073.1489,0.97,1073.149,1073.1489,-8.35675953E-06,0.21,0.97,0.03,0.21,0.97,0.03,1,8.0225817,131.4613
DP 1,1.03,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.85,0.00023881227000000004,0.00055525741171,1.4399999999969992E-05,6.81392486E-07,1.399999999995849E-05,0.00082315107419592853,0.01863296168,0.019456112754195929,0.20972839,1073.3829,-0.00055603073,-7.7331829E-07,0.00047683632,-9.1925804E-08,1.0300004,-0.000794843,1.0300144,-0.019109798,56.714071,2.3748656,1073.3533,0.96930988,1073.3963,1073.2413,58.41549313,0.20972839,0.96930988,0.030690121,0.20863,0.96873876,0.031261236,0.98095238095238091,8.0189006,131.58665
DP 2,1,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.05,0.00071776730000000012,0.0016760299136,4.3500000000085137E-05,2.0550403E-06,4.2400000000109017E-05,0.0024817522539001941,0.0458767405,0.048358492753900195,0.2091803,1073.836,-0.0016783622,-2.3322864E-06,0.0014403015,-2.772461E-07,1.0000011,-0.0023961295,1.0000435,-0.047317042,171.04033,2.3829614,1073.7375,0.96791871,1073.8811,1073.3624,171.04033,0.2091803,0.96791871,0.032081289,0.20587658,0.96619799,0.033802006,0.95238095238095233,8.0170855,131.83517
DP 3,0.95,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1069.55,0.0019979190000000008,0.0047361024447,0.00012392999999999432,5.79248683E-06,0.00012089999999997936,0.0069846439315299743,0.088379412200000007,0.095364056131529984,0.20768521,1075.4828,-0.0047426764,-6.5739553E-06,0.0040796598,-7.8146847E-07,0.95000303,-0.0067405954,0.95012393,-0.092459072,482.101,2.4130578,1075.1565,0.96413353,1075.6326,1073.9114,457.99595,0.20768521,0.96413353,0.03586647,0.19844043,0.9592977,0.040702299,0.90476190476190466,8.0148504,132.5531
DP 4,0.9,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1064.25,0.0041185889999999989,0.010051318639,0.00026611999999992531,1.22382859E-05,0.00025971999999996331,0.014707985924899887,0.1254617854,0.14016977132489988,0.20509339,1078.7523,-0.010065208,-1.3889361E-05,0.0086969746,-1.6510751E-06,0.9000064,-0.014183797,0.90026612,-0.13415876,1018.5719,2.4733522,1077.9566,0.9576052,1079.1179,1074.9163,916.71471000000008,0.20509339,0.9576052,0.042394799,0.18580593,0.94744292,0.052557074,0.8571428571428571,8.013421,133.82267
DP 5,0.85,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1054.85,0.0071007119999999986,0.018236867446,0.00049082000000000292,2.2047162799999997E-05,0.00047927999999997084,0.026329726608799973,0.155856691,0.18218641760879997,0.20111664,1084.6356,-0.018261889,-2.5021554E-05,0.015898609,-2.9743912E-06,0.85001154,-0.025362601,0.85049082,-0.1717553,1834.9422,2.5851907,1083.0075,0.94767032,1085.3857,1076.7732,1559.70087,0.20111664,0.94767032,0.052329675,0.16714262,0.92951979,0.070480211,0.80952380952380942,8.0165609,135.82667
DP 6,0.8,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1039.85,0.010594059,0.029195875144,0.00080472999999992023,3.4963884300000004E-05,0.00078643000000000463,0.041416058028299924,0.180110028,0.22152608602829993,0.19581889,1093.0296,-0.029235556,-3.9680856E-05,0.025701102,-4.7169717E-06,0.8000183,-0.039829615,0.80080473,-0.20581113,2909.9566,2.7500382,1090.1382,0.93458714,1094.3684,1079.0335,2327.96528,0.19581889,0.93458714,0.065412858,0.14430204,0.90614224,0.093857756,0.76190476190476186,8.0230686,138.48262
DP 7,0.75,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1018.05,0.014145449999999997,0.041977407072,0.001202530000000035,4.97872032E-05,0.0011764800000000353,0.058551654275200066,0.200587198,0.25913885227520006,0.1896521,1102.3736,-0.042033911,-5.6503928E-05,0.037303852,-6.7167248E-06,0.75002605,-0.056179361,0.75120253,-0.23789105,4143.6325,2.9374112,1097.824,0.91957241,1104.5054,1080.272,3107.724375,0.1896521,0.91957241,0.080427583,0.12306909,0.87963807,0.12036192,0.7142857142857143,8.0268593,141.41072
DP 8,0.7,10,100,9.8668792238936139E-07,8.5022890778286464E-09,989.94999999999993,0.0093909569999999915,0.07182545019,0.0013443200000000655,5.49998777E-05,0.0013155400000000039,0.083931267067700058,0.195542636,0.27947390306770004,0.18746091,1166.8198,-0.07188787,-6.241981E-05,0.068675254,-7.4199323E-06,0.70002878,-0.081278827,0.70134432,-0.26421789,4577.4769,4.9061121,1162.2894,0.41300197,1169.4841,1145.451,3204.2338299999997,0.18746091,0.41300197,0.58699803,0.12314122,0.38035319,0.61964681,0.66666666666666663,8.4660334,17.837237
DP 9,0.65,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,956.44999999999993,0.020201666999999993,0.06952865521200001,0.002206579999999958,8.1547624000000011E-05,0.0021639099999999356,0.0941823598359999,0.23844014600000002,0.33262250583599995,0.17611648,1123.679,-0.069621204,-9.2548788E-05,0.062840654,-1.1001164E-05,0.65004267,-0.089822871,0.65220658,-0.3012808,6786.7529,3.3900838,1114.8116,0.88740188,1127.965,1080.2711,4411.389385,0.17611648,0.88740188,0.11259811,0.099866973,0.82383097,0.17616903,0.61904761904761907,8.0311968,147.54662
