P27,P46,P47,P52,predicted_P76,predicted_P62,rank,crowding,distance_to_ideal,nearest_source_file,nearest_name,nearest_dataset_P76,nearest_dataset_P62,feature_distance_to_dataset
0.6101146655571323,6.814688350885157,988.2484146723073,884.9910692199239,5366.43203480454,0.21339630445834676,0,0.10731575413030495,0.8264247836631227,calc1.csv,DP 10,546.52332,0.0849633815016298,0.36021412916608125
0.653804975826108,4.969766379318623,581.722717693919,878.373591223206,5669.699883867772,0.23106958324362836,0,0.09634119128299856,0.8299959019931846,Расчет 5 200.csv,DP 8,4976.8757,0.2895378146991001,0.32386501696998116
0.6415806291398701,5.095532438880811,605.1879141454024,872.1343003565944,4881.763108944953,0.1963150535216364,0,0.0701984961402327,0.8334852650423881,calc1.csv,DP 9,449.8641,0.0742039095810198,0.3408412182137644
0.6623737389129725,5.1075015711637795,927.7416480304121,860.3978754579161,4786.132929368765,0.19244270621049842,0,0.07809335796102176,0.8346916656802779,calc1.csv,DP 9,449.8641,0.0742039095810198,0.24759903356807061
0.6369309869717972,4.071120938488388,681.3668483250239,918.7944466423634,5740.336775185116,0.25374632426209637,0,0.10061675507475537,0.8506189847423885,Расчет 3 333.csv,DP 8,5158.9914,0.2927287064886,0.28204255417802065
0.5858328187301233,1.4429918458692763,945.4060385057383,1064.4064680584383,7362.263177458995,0.3121716011193795,0,0.0832765387743167,0.8555184256895585,Расчет 1 1000.csv,DP 8,6694.0682,0.276620627108,0.2312125913552198
0.6992055276732587,5.047688352574469,1190.2419817662778,877.5562227002456,4073.97796115922,0.17745613569559363,0,0.09458473118500066,0.8566230991284571,j-cell-40x40-xchem2t-dp-params-3.csv,DP 8,365.9189,0.06410811445212,0.2990194653222714
0.6404934015632487,4.8919158922392585,520.6152475944742,897.4089984769512,6074.444741142769,0.2728194048813682,0,0.10771893111857855,0.8577957459702032,Расчет 5 200.csv,DP 8,4976.8757,0.2895378146991001,0.27691762377441015
0.48304948759511673,1.923252715520953,1293.3699304061047,1035.176897407094,9839.727009617607,0.37283705201087003,0,0.13615738891755286,0.8602111034249845,Расчет 1 1000.csv,DP 9,8554.109,0.3067218290339999,0.33785368494233364
0.6646882768325593,6.805897485761566,1021.2161732558444,846.7217819766134,3844.9757439840378,0.16858019409228792,0,0.08665261548512279,0.8611901748195113,calc1.csv,DP 9,449.8641,0.0742039095810198,0.2939374572384745
0.5846441609494779,2.5762101731560834,784.4733497674266,1068.4506241012245,6910.901377989492,0.3066925979038625,0,0.08821880047794683,0.8655633489106652,Расчет 1 1000.csv,DP 8,6694.0682,0.276620627108,0.3118534666808884
0.550684257013233,2.4779681695820277,1050.4009932519464,1029.9763872651513,8313.030554490428,0.3454826759250685,0,0.09077277060825442,0.8675460763013474,Расчет 1 1000.csv,DP 9,8554.109,0.3067218290339999,0.2675342066833543
0.5756504296347804,2.0856768802730965,1061.499840299463,857.1608822831049,7624.034661273649,0.3308714714455062,0,0.11307313726772661,0.8711162674134652,Расчет 1 1000.csv,DP 11,12028.646,0.3721147648949999,0.13784246993538132
0.6549224435592839,3.8996217458278735,880.5700408635494,896.034890801635,6333.643188848824,0.29405310191872025,0,0.10817237622815912,0.8724271131512679,Расчет 1 1000.csv,DP 10,10303.502,0.3387403813130001,0.34037756220207044
0.5908008951496377,2.8743376648676744,1617.3870628722495,871.2115029318744,8479.898754800035,0.355071852348288,0,0.0889518451108415,0.8758954217579503,Расчет 2 2000.csv,DP 8,5896.8943,0.2966398993101001,0.37410466059728353
0.3936573914542174,1.145756577516193,915.8210598816772,983.4092807851697,12080.590465234942,0.41992237605278665,0,0.061896496119127176,0.8804254186967013,Расчет 1 1000.csv,DP 10,10303.502,0.3387403813130001,0.3125439918953546
0.5516140885403327,2.4670010309332797,898.6890479750411,923.2409722846447,9069.980330067134,0.3714406004043164,0,0.1048463286867696,0.8814176612543669,Расчет 1 1000.csv,DP 10,10303.502,0.3387403813130001,0.1833951814348918
0.3322536035400103,1.1970644947115963,655.7029598040563,1042.773073982683,16748.516824676204,0.45872147307204064,0,0.1947239296711365,0.8821550819970926,Расчет 1 1000.csv,DP 10,10303.502,0.3387403813130001,0.4843339380292077
0.6912986246562696,4.464608638101552,967.2659449866035,854.3341881115671,3229.4953676140854,0.15510784196166388,0,0.10622988180734252,0.8821923598486848,j-cell-40x40-xchem2t-dp-params-3.csv,DP 8,365.9189,0.06410811445212,0.2388799373580447
0.4809745104587103,2.3032124154547957,1380.8069081856688,898.8598028285043,10588.279733227922,0.4013057204096044,0,0.15794316865355035,0.8850692130737966,Расчет 1 1000.csv,DP 11,12028.646,0.3721147648949999,0.26761841055633356
0.5137112606390734,1.812250953593921,1167.3854718373805,821.3372300502315,11347.507694306974,0.41443521411203016,0,0.11338716051161185,0.8878530343405345,Расчет 1 1000.csv,DP 12,13782.944,0.4058665782159998,0.12945739579934037
0.4410396195135216,1.361073753571855,1151.143309867074,967.0040762083007,12099.449598494695,0.4263179405580743,0,0.06830918763470578,0.8910866086446164,Расчет 1 1000.csv,DP 10,10303.502,0.3387403813130001,0.25248796623524694
0.4026768700792237,2.006224610172139,1210.923354089501,713.5263231348786,13970.37409387705,0.4524822155879192,0,0.08568415329631235,0.9027626957582408,Расчет 1 1000.csv,DP 13,17547.312,0.4765990062549999,0.1622252083337363
0.38567534424043626,2.061900338841013,1219.0014025908029,713.4963873506575,13970.374093877059,0.45277980953571295,0,0.1569884957981522,0.9033032303293836,Расчет 1 1000.csv,DP 13,17547.312,0.4765990062549999,0.17046329916718858
0.733557771007987,6.4625742190891735,1007.281933452643,865.3755505601865,2671.64884871353,0.14497079045373565,0,0.08843272737320766,0.9036232909431614,calc1.csv,DP 7,291.72497,0.0544930830179699,0.3030340756963406
0.3342562991874872,2.0044167518554934,734.841225399949,1039.879523724834,16987.819241226793,0.47227588881385557,0,0.08414891265011204,0.9060647157820088,Расчет 1 1000.csv,DP 10,10303.502,0.3387403813130001,0.4773504201355456
