# 
# 04/09/2026 14:36:07
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,1073.15,1.4250349999999985E-12,-6.1463300703E-11,0,2.3326154799999998E-14,0,-6.00149395482E-11,2.799714999999999E-11,-3.2017789548200011E-11,0.21,1073.1351,6.1436258E-11,-2.7042703E-14,1E-10,-3.7165482E-15,1.05,6.0011223E-11,1.05,-1.2799715E-10,-7.8994725E-06,2.3703346,1073.1378,0.97,1073.1402,1073.1372,-8.294446125E-06,0.21,0.97,0.03,0.21,0.97,0.03,1,27.377387,131.45996
DP 1,1.03,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,1072.85,0.00023945957000000003,0.00055551935487,1.4399999999969992E-05,6.8177719199999993E-07,1.399999999995849E-05,0.0008240607020619285,0.01863176796,0.019455828662061928,0.20990943,1073.0825,-0.00055629311,-7.7375513E-07,0.00047689204,-9.1977938E-08,1.0300004,-0.00079575268,1.0300144,-0.01910866,56.746275,2.3697918,1073.112,0.96930949,1073.1415,1073.0465,58.448663249999996,0.20990943,0.96930949,0.030690512,0.20880875,0.96873788,0.031262115,0.98095238095238091,27.366341,131.55742
DP 2,1,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,1072.05,0.00072364739999999971,0.0016783897787,4.3599999999921479E-05,2.05868349E-06,4.2499999999945359E-05,0.0024901958621898665,0.045865942199999996,0.048356138062189864,0.20972647,1072.8719,-0.0016807262,-2.3364213E-06,0.0014407878,-2.7773781E-07,1.0000011,-0.0024043736,1.0000436,-0.04730673,171.34419,2.3677935,1072.9651,0.96791502,1073.0662,1072.7379,171.34419,0.20972647,0.96791502,0.032084982,0.20641113,0.96618961,0.033810388,0.95238095238095244,27.350936,131.74178
DP 3,0.95,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,1069.55,0.0020480508000000003,0.0047563973042,0.00012463000000006996,5.82565269E-06,0.00012158000000006552,0.0070564837568901362,0.0882870155,0.095343499256890132,0.2092255,1072.3323,-0.0047630089,-6.6115958E-06,0.0040839725,-7.8594311E-07,0.95000305,-0.0068110597,0.95012463,-0.092370988,484.86312,2.3674399,1072.6375,0.96409994,1072.9768,1071.8727,460.619964,0.2092255,0.96409994,0.035900065,0.19990435,0.95922291,0.040777093,0.90476190476190466,27.320819,132.25006
DP 4,0.9,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,1064.25,0.004358093,0.010142762956,0.00026954000000001255,1.23966091E-05,0.00026305000000004242,0.015045842565100054,0.12503180120000001,0.14007764376510007,0.20835011,1071.1314,-0.010156832,-1.4069044E-05,0.0087120388,-1.6724349E-06,0.90000649,-0.014514925,0.90026954,-0.13374384,1031.7519,2.3674399,1071.8801,0.95744484,1072.7162,1069.9933,928.57671,0.20835011,0.95744484,0.042555157,0.18872982,0.9470906,0.052909398,0.8571428571428571,27.259819,133.09666
DP 5,0.85,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,1054.85,0.007923303,0.018495922434,0.0005015099999999828,2.25379608E-05,0.00048971999999991578,0.0274329933947999,0.154493172,0.18192616539479992,0.2069953,1069.1609,-0.018521501,-2.5578566E-05,0.015895278,-3.0406052E-06,0.85001179,-0.026444804,0.85050151,-0.17038845,1875.7945,2.3674399,1070.715,0.94717319,1072.4476,1066.8023,1594.425325,0.2069953,0.94717319,0.05282681,0.17198022,0.92842539,0.07157461,0.80952380952380942,27.165563,134.36342
DP 6,0.8,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,1039.85,0.012677922999999997,0.029667905102,0.00082886999999998157,3.60626867E-05,0.0008099999999999774,0.044020760788699952,0.17703423399999998,0.22105499478869994,0.20518132,1065.74,-0.029708833,-4.0927898E-05,0.025508266,-4.8652113E-06,0.80001887,-0.042386756,0.80082887,-0.2025425,3001.4217,2.3674399,1068.5537,0.93347399,1071.6748,1061.5022,2401.13736,0.20518132,0.93347399,0.066526014,0.15114097,0.90364528,0.096354715,0.761904761904762,27.009866,135.9036
DP 7,0.75,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,1018.05,0.018186908,0.042498868977999996,0.0012476000000000154,5.1733700799999995E-05,0.0012205299999999975,0.06320564067880001,0.195427081,0.2586327216788,0.2030692,1059.6454,-0.042557582,-5.8713022E-05,0.036536139,-6.9793212E-06,0.75002707,-0.06074449,0.7512476,-0.23196322,4305.6416,2.3674399,1064.1775,0.91760039,1069.1725,1052.9037,3229.2312,0.2030692,0.91760039,0.08239961,0.13165569,0.87505942,0.12494058,0.7142857142857143,26.795407,137.34659
DP 8,0.7,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,989.94999999999993,0.023960471000000004,0.055543118891,0.0017481700000000489,6.8158162200000007E-05,0.0017125100000000559,0.083032428053200116,0.213076351,0.2961087790532001,0.20084364,1050.9397,-0.055620472,-7.7353109E-05,0.047697849,-9.1949468E-06,0.70003566,-0.079580943,0.70174817,-0.2607742,5672.496,2.3674399,1057.6066,0.9009636,1064.9059,1041.1742,3970.7472,0.20084364,0.9009636,0.099036395,0.12043947,0.84522195,0.15477804,0.66666666666666652,26.522381,138.48387
DP 9,0.65,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,956.44999999999993,0.030118574000000009,0.068996643225,0.0023149299999999373,8.5676612E-05,0.0022700999999999416,0.10378592383699989,0.229493394,0.33327931783699988,0.19845624,1041.301,-0.069093878,-9.7234775E-05,0.059153616,-1.1558163E-05,0.65004483,-0.099212452,0.65231493,-0.28864701,7130.3928,2.3674399,1050.6007,0.88321797,1060.6899,1027.8974,4634.75532,0.19845624,0.88321797,0.11678203,0.11307036,0.81359748,0.18640252,0.61904761904761907,26.205124,139.56979
DP 10,0.6,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,919.75,0.036545527999999994,0.08277918824000001,0.00292670000000006,0.00010395922,0.002872309999999989,0.12522768546000007,0.24497578600000003,0.3702034714600001,0.19594943,1032.9389,-0.082897172,-0.00011798376,0.070862604,-1.402454E-05,0.60005439,-0.1194427,0.6029267,-0.31583839,8651.9362,2.3674399,1045.3876,0.86469706,1058.7235,1015.3233,5191.16172,0.19594943,0.86469706,0.13530294,0.10707851,0.78089762,0.21910238,0.5714285714285714,25.935144,140.85423
DP 11,0.55,3,1000,2.9600637671680837E-06,8.5022890778286461E-08,878.55,0.043204149,0.09667453078,0.0035780899999999782,0.0001229004,0.0035137900000000721,0.14709346018000005,0.259998565,0.40709202518000009,0.19333577,1024.8166,-0.096814011,-0.00013948022,0.082624745,-1.657982E-05,0.5500643,-0.14001816,0.55357809,-0.34262331,10228.325,2.3674399,1040.9591,0.84550816,1057.9935,1002.4143,5625.5787500000006,0.19333577,0.84550816,0.15449184,0.10190689,0.74734199,0.25265801,0.52380952380952372,25.681463,142.19351
