# 
# 04/02/2026 09:01:44
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1073.15,1.4263289999999958E-12,-6.1458017378E-11,0,1.940631E-14,0,-6.0012282067999992E-11,2.8132920000000003E-11,-3.1879362067999989E-11,0.21,1073.1489,6.1435535E-11,-2.2482378E-14,1E-10,-3.076068E-15,1.05,6.0009206E-11,1.05,-1.2813292E-10,-7.9642126E-06,2.3705672,1073.1489,0.97,1073.149,1073.1489,-8.36242323E-06,0.21,0.97,0.03,0.21,0.97,0.03,1,8.0225827,131.4613
DP 1,1.03,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.85,0.00023880197999999995,0.00055525531510000007,1.4399999999969992E-05,6.8138955500000007E-07,1.399999999995849E-05,0.00082313868465492851,0.0186329765,0.019456115184654926,0.20972839,1073.3875,-0.00055602863,-7.733149E-07,0.0004768375,-9.1925345E-08,1.0300004,-0.00079483061,1.0300144,-0.019109814,56.713659,2.3749521,1073.3574,0.96930988,1073.4008,1073.2444,58.415068770000005,0.20972839,0.96930988,0.030690117,0.20863002,0.96873877,0.031261227,0.9809523809523808,8.0181468,131.58716
DP 2,1,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.05,0.00071773979999999985,0.0016760238252,4.3500000000085137E-05,2.05503008E-06,4.2400000000109017E-05,0.0024817186552801938,0.0458767828,0.048358501455280194,0.20918031,1073.8401,-0.0016783561,-2.3322748E-06,0.0014403042,-2.7724472E-07,1.0000011,-0.0023960959,1.0000435,-0.047317087,171.03918,2.3830378,1073.7411,0.96791872,1073.8851,1073.3652,171.03918,0.20918031,0.96791872,0.032081278,0.20587663,0.96619802,0.033801981,0.95238095238095233,8.0164221,131.83562
DP 3,0.95,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1069.55,0.001997866,0.0047360900687,0.00012392999999999432,5.79246569E-06,0.00012089999999997936,0.0069845785343899732,0.0883794946,0.095364073134389965,0.20768522,1075.4856,-0.004742664,-6.5739313E-06,0.0040796644,-7.8146561E-07,0.95000303,-0.00674053,0.95012393,-0.092459159,482.09866,2.4131113,1075.159,0.96413355,1075.6354,1073.9134,457.993727,0.20768522,0.96413355,0.035866448,0.19844055,0.95929775,0.04070225,0.90476190476190477,8.0142691,132.55341
DP 4,0.9,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1064.25,0.0041184659999999994,0.010051293692,0.00026611999999992531,1.2238239099999999E-05,0.00025971999999996331,0.014707837931099888,0.1254619715,0.14016980943109988,0.20509341,1078.7555,-0.010065183,-1.3889308E-05,0.0086969885,-1.6510689E-06,0.9000064,-0.014183649,0.90026612,-0.13415896,1018.5666,2.4734144,1077.9595,0.95760525,1079.1211,1074.9185,916.70994,0.20509341,0.95760525,0.04239475,0.18580618,0.94744303,0.052556964,0.85714285714285721,8.0129201,133.82302
DP 5,0.85,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1054.85,0.007100440999999999,0.018236831543,0.00049082000000000292,2.20470773E-05,0.00047927999999997084,0.026329419620299974,0.15585705,0.18218646962029997,0.20111668,1084.6399,-0.018261853,-2.5021457E-05,0.01589866,-2.9743797E-06,0.85001154,-0.025362294,0.85049082,-0.17175571,1834.9318,2.5852764,1083.0113,0.94767041,1085.3899,1076.7761,1559.69203,0.20111668,0.94767041,0.052329584,0.16714313,0.92952,0.070479999,0.80952380952380953,8.0160068,135.82714
DP 6,0.8,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1039.85,0.010594138999999999,0.029195873129,0.00080472999999992023,3.49638975E-05,0.00078643000000000463,0.04141613602649992,0.18010994600000002,0.22152608202649993,0.19581887,1093.0286,-0.029235554,-3.9680871E-05,0.025701074,-4.7169735E-06,0.8000183,-0.039829693,0.80080473,-0.20581102,2909.9588,2.750019,1090.1374,0.93458712,1094.3675,1079.0329,2327.96704,0.19581887,0.93458712,0.065412873,0.14430184,0.9061422,0.093857799,0.76190476190476186,8.0231919,138.48251
DP 7,0.75,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1018.05,0.014145404,0.041977411079,0.001202530000000035,4.9787196999999995E-05,0.0011764800000000353,0.058551612276000073,0.20058723899999997,0.25913885127600006,0.18965209,1102.374,-0.042033915,-5.6503921E-05,0.037303871,-6.716724E-06,0.75002605,-0.056179319,0.75120253,-0.23789111,4143.6314,2.9374199,1097.8243,0.91957242,1104.5058,1080.2723,3107.72355,0.18965209,0.91957242,0.080427577,0.12306912,0.87963809,0.1203619,0.7142857142857143,8.0268247,141.41077
DP 8,0.7,5,200,9.8668792238936139E-07,1.7004578155657293E-08,989.94999999999993,0.010196539000000004,0.061903716962,0.0014943700000000781,5.97987371E-05,0.001463080000000061,0.075117504699100154,0.21442031000000003,0.28953781469910017,0.18543338,1167.6454,-0.061971583,-6.7866038E-05,0.05849025,-8.0673009E-06,0.70003129,-0.072168122,0.70149437,-0.27291056,4976.8757,4.906377,1162.2651,0.66720068,1170.6967,1143.4057,3483.8129899999994,0.18543338,0.66720068,0.33279932,0.11571651,0.62661394,0.37338606,0.66666666666666663,8.4513665,34.306408
DP 9,0.65,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,956.44999999999993,0.020201045,0.069528860197,0.002206579999999958,8.1547638E-05,0.0021639099999999356,0.0941819428349999,0.238440382,0.33262232483499987,0.17611646,1123.6833,-0.069621409,-9.2548803E-05,0.062841068,-1.1001165E-05,0.65004267,-0.089822454,0.65220658,-0.30128145,6786.7442,3.3901864,1114.8153,0.88740187,1127.9691,1080.2738,4411.3837300000005,0.17611646,0.88740187,0.11259813,0.099867307,0.82383114,0.17616885,0.619047619047619,8.0324919,147.54712
