# 
# 04/01/2026 16:20:31
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1073.15,1.4262889999999986E-12,-6.145815769E-11,0,2.01908181E-14,0,-6.00116778719E-11,2.812942E-11,-3.18822578719E-11,0.21,1073.1489,6.1434762E-11,-2.339569E-14,1E-10,-3.2048719E-15,1.05,6.0008473E-11,1.05,-1.2812942E-10,-7.9504185E-06,2.3705672,1073.1489,0.97,1073.149,1073.1489,-8.347939425E-06,0.21,0.97,0.03,0.21,0.97,0.03,1,8.0225938,131.4613
DP 1,1.03,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.85,0.00023880246999999995,0.00055525540513,1.4399999999969992E-05,6.81389513E-07,1.399999999995849E-05,0.00082313926464292842,0.01863297556,0.01945611482464293,0.20972839,1073.3873,-0.00055602872,-7.7331487E-07,0.00047683744,-9.1925357E-08,1.0300004,-0.00079483119,1.0300144,-0.019109813,56.713682,2.3749479,1073.3572,0.96930988,1073.4006,1073.2443,58.41509246,0.20972839,0.96930988,0.030690118,0.20863001,0.96873877,0.031261227,0.9809523809523808,8.0187238,131.58713
DP 2,1,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1072.05,0.00071773989999999988,0.0016760237253,4.3500000000085137E-05,2.0550299999999998E-06,4.2400000000109017E-05,0.0024817186553001938,0.0458767829,0.0483585015553002,0.20918031,1073.8401,-0.001678356,-2.3322747E-06,0.0014403041,-2.772447E-07,1.0000011,-0.0023960959,1.0000435,-0.047317087,171.03917,2.3830377,1073.7411,0.96791872,1073.8851,1073.3652,171.03917,0.20918031,0.96791872,0.032081278,0.20587661,0.96619802,0.033801981,0.95238095238095233,8.0171426,131.83562
DP 3,0.95,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1069.55,0.0019978625999999998,0.0047360886711000005,0.00012392999999999432,5.79246358E-06,0.00012089999999997936,0.006984573734679974,0.088379501,0.095364074734679977,0.20768522,1075.4858,-0.0047426626,-6.5739289E-06,0.004079664,-7.8146532E-07,0.95000303,-0.0067405252,0.95012393,-0.092459165,482.09845,2.4131143,1075.1592,0.96413355,1075.6355,1073.9135,457.99352749999997,0.20768522,0.96413355,0.035866446,0.19844048,0.95929775,0.040702245,0.90476190476190477,8.0150597,132.55342
DP 4,0.9,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1064.25,0.004118459,0.010051290697,0.00026611999999992531,1.2238234699999998E-05,0.00025971999999996331,0.014707827931699889,0.1254619823,0.14016981023169989,0.20509341,1078.7556,-0.01006518,-1.3889303E-05,0.0086969877,-1.6510683E-06,0.9000064,-0.014183639,0.90026612,-0.13415897,1018.5662,2.4734176,1077.9596,0.95760525,1079.1212,1074.9186,916.70958,0.20509341,0.95760525,0.042394745,0.18580608,0.94744304,0.052556954,0.85714285714285721,8.0133363,133.82304
DP 5,0.85,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1054.85,0.0071004510000000007,0.018236823551,0.00049082000000000292,2.20470703E-05,0.00047927999999997084,0.026329421621299972,0.15585706100000002,0.1821864826213,0.20111668,1084.6396,-0.018261845,-2.5021449E-05,0.015898649,-2.9743787E-06,0.85001154,-0.025362296,0.85049082,-0.17175571,1834.9314,2.5852721,1083.0111,0.94767042,1085.3896,1076.776,1559.6916899999999,0.20111668,0.94767042,0.052329577,0.16714282,0.92952001,0.070479987,0.80952380952380953,8.0167819,135.82712
DP 6,0.8,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1039.85,0.010594261999999997,0.029195858121,0.00080472999999992023,3.49639046E-05,0.00078643000000000463,0.041416244025599923,0.18010984100000002,0.22152608502559995,0.19581886,1093.0271,-0.029235539,-3.9680879E-05,0.025701019,-4.7169744E-06,0.8000183,-0.039829801,0.80080473,-0.20581086,2909.9611,2.7499887,1090.1361,0.93458712,1094.3661,1079.0319,2327.96888,0.19581886,0.93458712,0.065412882,0.1443013,0.90614216,0.093857837,0.76190476190476186,8.0239184,138.48235
DP 7,0.75,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,1018.05,0.014144952999999995,0.041977403206000005,0.001202530000000035,4.9787085200000005E-05,0.0011764800000000353,0.058551153291200073,0.200587727,0.25913888029120008,0.18965217,1102.3776,-0.042033907,-5.6503794E-05,0.037304013,-6.7167088E-06,0.75002605,-0.05617886,0.75120253,-0.23789174,4143.616,2.9375043,1097.8277,0.91957254,1104.5095,1080.2749,3107.712,0.18965217,0.91957254,0.080427457,0.12306903,0.87963841,0.12036159,0.7142857142857143,8.0268933,141.41119
DP 8,0.7,3,333,9.8570123446697177E-07,2.8312622629169388E-08,989.94999999999993,0.011434384999999998,0.058778975347,0.001565440000000029,6.198714160000001E-05,0.0015330099999999458,0.073373797488599971,0.21935490900000001,0.2927287064886,0.18447909,1157.6247,-0.058849325,-7.0349653E-05,0.054959611,-8.3625114E-06,0.70003243,-0.07028371,0.70156544,-0.27431452,5158.9914,4.5342725,1151.8108,0.78148071,1160.7707,1132.0294,3611.2939799999995,0.18447909,0.78148071,0.21851929,0.11320014,0.73681072,0.26318928,0.66666666666666652,8.3609323,54.220467
DP 9,0.65,1,1000,9.8668792238936118E-07,8.5022890778286461E-08,956.44999999999993,0.020201131999999997,0.069528799241,0.002206579999999958,8.1547599E-05,0.0021639099999999356,0.0941819688399999,0.23844041299999996,0.33262238183999987,0.17611648,1123.6825,-0.069621348,-9.2548759E-05,0.062840977,-1.100116E-05,0.65004267,-0.08982248,0.65220658,-0.30128139,6786.7426,3.3901707,1114.8147,0.88740191,1127.9685,1080.2734,4411.3826899999995,0.17611648,0.88740191,0.11259809,0.099867101,0.82383119,0.17616881,0.619047619047619,8.0326923,147.54704
