# 
# 04/09/2026 09:33:27
# The parameters defined in the project are:
# ,P27 - cell-voltage,P46 - air-in-ratio,P47 - fuel-flow [ml/min],P50 - air-in [kg s^-1],P51 - fuel-in [kg s^-1],P52 - gas-in-t [K],P39 - electrolyte-v-drop [V],P40 - anode-fl-v-drop [V],P45 - cathode-fl-v-drop [V],P56 - anode-sl-v-drop [V],P59 - cathode-ccl-v-drop [V],P60 - ohmic-losses [V],P61 - polarization [V],P62 - total-losses [V],P66 - air-out-o2,P67 - air-out-t [K],P68 - anode-fl-ion-v [V],P69 - anode-fl-v [V],P70 - anode-overpotential-avg [V],P71 - anode-sl-v [V],P72 - cathode-ccl-v [V],P73 - cathode-fl-ion-v [V],P74 - cathode-fl-v [V],P75 - cathode-overpotential-avg [V],P76 - current-density [A m^-2],P77 - el-cond-avg,P78 - el-t-avg [K],P79 - fuel-out-h2,P80 - t-max [K],P81 - t-min [K],P82 - power-density [W m^-2],P83 - c-o2-ch-out,P84 - c-h2-ch-out,P85 - c-h2o-ch-out,P86 - c-o2-fl-out,P87 - c-h2-fl-out,P88 - c-h2o-fl-out,P89 - power-efficiency,P90 - air-ch-pressure-drop [Pa],P91 - fuel-ch-pressure-drop [Pa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
DP 0,1.05,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,1073.15,1.4265390000000007E-12,-6.1462806655E-11,0,2.5074212600000003E-14,0,-6.00111934424E-11,2.797990999999999E-11,-3.2031283442400014E-11,0.21,1072.9649,6.1433728E-11,-2.9078655E-14,1E-10,-4.0044424E-15,1.05,6.0007189E-11,1.05,-1.2797991E-10,-7.8718603E-06,2.3682641,1073.0393,0.97,1073.0641,1073.0297,-8.265453315E-06,0.21,0.97,0.03,0.21,0.97,0.03,1,124.444,131.44802
DP 1,1.03,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,1072.85,0.00023983568999999994,0.00055571841123,1.4399999999969992E-05,6.82176899E-07,1.399999999995849E-05,0.00082463627812892843,0.01863097703,0.019455613308128929,0.20997282,1072.7512,-0.00055649262,-7.7420877E-07,0.00047697097,-9.2031871E-08,1.0300004,-0.00079632831,1.0300144,-0.019107948,56.779098,2.3674399,1072.8914,0.96930909,1072.9037,1072.8679,58.48247094,0.20997282,0.96930909,0.03069091,0.20887659,0.96873714,0.031262856,0.98095238095238091,124.4034,131.53072
DP 2,1,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,1072.05,0.00072470990000000012,0.0016792609758,4.3699999999979866E-05,2.06141737E-06,4.2600000000003746E-05,0.0024923322931699838,0.045863058000000005,0.048355390293169986,0.20991785,1072.1567,-0.0016816005,-2.3395242E-06,0.001441318,-2.7810683E-07,1.0000011,-0.0024063104,1.0000437,-0.047304376,171.57039,2.3674399,1072.4542,0.96791227,1072.5183,1072.323,171.57039,0.20991785,0.96791227,0.03208773,0.2066131,0.96618406,0.033815939,0.95238095238095233,124.34653,131.68009
DP 3,0.95,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,1069.55,0.0020560772999999996,0.004763835543,0.00012513000000002883,5.84852739E-06,0.00012206999999997414,0.0070729613703900025,0.0882634649,0.09533642627039,0.2097669,1070.3428,-0.0047704731,-6.637557E-06,0.0040888331,-7.8902961E-07,0.95000306,-0.0068265504,0.95012513,-0.092352298,486.76405,2.3674399,1071.1652,0.96407681,1071.4021,1070.6751,462.4258475,0.2097669,0.96407681,0.035923189,0.20044754,0.9591747,0.040825303,0.90476190476190477,124.1124,132.07355
DP 4,0.9,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,1064.25,0.004399452,0.010183093398,0.00027212999999992604,1.25142903E-05,0.00026557999999998749,0.015132769688299913,0.1249064677,0.1400392373882999,0.20950107,1066.4891,-0.010197296,-1.4202602E-05,0.0087390823,-1.6883117E-06,0.90000655,-0.014596748,0.90027213,-0.13364555,1041.544,2.3674399,1068.4184,0.95732568,1069.0191,1067.1747,937.38960000000009,0.20950107,0.95732568,0.042674317,0.18975658,0.94684215,0.053157849,0.85714285714285721,123.66177,132.68693
DP 5,0.85,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,1054.85,0.008072527,0.01863909668,0.00051120999999998418,2.29624457E-05,0.0004991899999999827,0.027744986125699967,0.154045726,0.18179071212569997,0.20908407,1059.7483,-0.018665157,-2.606032E-05,0.015990564,-3.0978743E-06,0.85001202,-0.026737684,0.85051121,-0.17003629,1911.1224,2.3674399,1063.714,0.94674323,1064.9817,1061.0942,1624.4540399999998,0.20908407,0.94674323,0.053256767,0.17345803,0.92753037,0.072469626,0.80952380952380942,122.92373,133.54837
DP 6,0.8,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,1039.85,0.013069650000000002,0.030005380432,0.0008559499999999387,3.71770217E-05,0.00083650000000001778,0.044804657453699964,0.17593619,0.22074084745369996,0.20851608,1048.9713,-0.030047573,-4.2192568E-05,0.0257204,-5.0155463E-06,0.80001945,-0.043117223,0.80085595,-0.20165659,3094.1613,2.3674399,1056.1742,0.93234521,1058.4967,1051.3925,2475.3290400000005,0.20851608,0.93234521,0.067654794,0.15278949,0.90128754,0.098712462,0.76190476190476186,121.73921,134.48094
DP 7,0.75,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,1018.05,0.018962349999999996,0.043003831579,0.0013077299999999514,5.39395266E-05,0.0012795099999999282,0.064607361105599878,0.193576669,0.25818403010559987,0.20784532,1033.0023,-0.043065048,-6.1216421E-05,0.036794471,-7.2768944E-06,0.75002822,-0.062027398,0.75130773,-0.23037114,4489.2223,2.3674399,1044.6798,0.9153657,1048.4579,1036.9637,3366.916725,0.20784532,0.9153657,0.084634298,0.13368434,0.87033261,0.12966739,0.7142857142857143,120.02271,135.10714
DP 8,0.7,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,989.94999999999993,0.025284773999999996,0.05613719734,0.0018610100000000518,7.19255047E-05,0.0018233800000000411,0.0851782868447001,0.21045134199999999,0.29562962884470007,0.20712446,1012.2779,-0.056218826,-8.162866E-05,0.047874178,-9.7031553E-06,0.70003763,-0.0815036,0.70186101,-0.25832552,5986.0171,2.3674399,1029.6233,0.89714686,1035.2416,1018.2776,4190.2119699999994,0.20712446,0.89714686,0.10285314,0.12353089,0.83708776,0.16291223,0.66666666666666652,117.86563,135.25803
DP 9,0.65,10,1000,9.8668792238936113E-06,8.5022890778286461E-08,956.44999999999993,0.032247507999999994,0.06969046406,0.0025046699999999866,9.1732787999999991E-05,0.0024566700000000496,0.10699104484800002,0.22580331099999998,0.332794355848,0.20632918,988.13279,-0.069794572,-0.00010410794,0.059181689,-1.2375152E-05,0.650048,-0.10204208,0.65250467,-0.284985,7634.405,2.3674399,1012.663,0.87708177,1020.5737,996.80741,4962.36325,0.20632918,0.87708177,0.12291823,0.11681167,0.80049766,0.19950234,0.61904761904761907,115.35404,135.18155
